period,heavy_sour,heavy_sweet,light_sour,light_sweet,medium,extraction_date
2009-01,3635184,202580,418152,1248240,3379544,2023-07
2009-02,2919112,191380,385056,874888,2975056,2023-07
2009-03,3412752,255332,358960,1294048,3188024,2023-07
2009-04,3207008,202692,290752,1418480,2887220,2023-07
2009-05,3307836,294168,292628,1076460,2901024,2023-07
2009-06,3375148,256508,331380,1309868,2681700,2023-07
2009-07,3158904,238224,434644,1245440,2974720,2023-07
2009-08,3222632,224056,366492,1484392,2517536,2023-07
2009-09,3105536,271908,434112,1498756,2797396,2023-07
2009-10,2832480,261464,421596,1603140,2516304,2023-07
2009-11,2809016,247884,414428,1430884,2748732,2023-07
2009-12,2848832,249900,416388,1505560,2416540,2023-07
2010-01,3012380,215740,464604,1533140,2462040,2023-07
2010-02,2808484,201936,385420,1425088,2267272,2023-07
2010-03,3331720,143276,488068,1467032,2942828,2023-07
2010-04,3231144,173936,492464,1460760,3121104,2023-07
2010-05,3631320,198856,436828,1396696,3027388,2023-07
2010-06,3193176,189308,511000,1450316,3340484,2023-07
2010-07,3493112,306768,667800,1336552,3127516,2023-07
2010-08,3527160,187208,596400,1531600,2811116,2023-07
2010-09,2959516,256172,477372,1454236,2810080,2023-07
2010-10,3124156,232736,398720,1208004,2664004,2023-07
2010-11,3071348,243152,624148,1138816,2515716,2023-07
2010-12,3168648,349888,469112,1173312,2653728,2023-07
2011-01,3420144,266756,431984,1361920,2811620,2023-07
2011-02,2919392,183372,372484,835044,2273124,2023-07
2011-03,3329704,257432,559552,1202600,2826992,2023-07
2011-04,2992304,260092,471128,884128,2835364,2023-07
2011-05,3269168,299600,557872,1245720,2722608,2023-07
2011-06,3175032,258580,489524,963228,3109652,2023-07
2011-07,3532200,198296,529060,960204,3049704,2023-07
2011-08,3624404,172732,461104,936516,2858968,2023-07
2011-09,3323012,223524,509572,824992,2782444,2023-07
2011-10,3564792,168588,459676,818104,2957472,2023-07
2011-11,3235316,267904,392112,825832,2788128,2023-07
2011-12,3455732,244440,535780,723884,2862216,2023-07
2012-01,3128076,205156,492856,694652,2690268,2023-07
2012-02,3423644,173684,465164,676564,2052624,2023-07
2012-03,3475668,248220,483756,828940,2570932,2023-07
2012-04,3204684,256760,520212,748272,2505748,2023-07
2012-05,3214036,219184,539728,735532,2928968,2023-07
2012-06,3198244,278460,602840,862540,2637068,2023-07
2012-07,3522904,267092,625912,707028,2346960,2023-07
2012-08,3209640,163688,512316,837760,2667056,2023-07
2012-09,3260040,147700,484624,647640,2464476,2023-07
2012-10,2965760,105364,546448,600376,2790536,2023-07
2012-11,3322424,244496,428988,529480,2334248,2023-07
2012-12,3133116,224672,423360,568204,2234008,2023-07
2013-01,3299044,239624,404656,523152,2413544,2023-07
2013-02,2716896,148848,340620,395920,2086252,2023-07
2013-03,3040044,213136,358596,456316,2411500,2023-07
2013-04,3338720,185416,297220,544852,2119180,2023-07
2013-05,3097752,160944,349300,634032,2444624,2023-07
